licensee,year,total_accepted_t,n_records,n_low_codes,disposal,other,recovery,recovery_rate
Clonakilty Waste Transfer Station - W0008,2022,134.66,4,2,0.0,134.66,0.0,
Clonakilty Waste Transfer Station - W0008,2023,92.2,4,2,0.0,92.2,0.0,
Corranure Landfill - W0077,2021,0.0,1,1,0.0,0.0,0.0,
Corranure Landfill - W0077,2022,0.0,1,1,0.0,0.0,0.0,
Corranure Landfill - W0077,2023,0.0,1,1,0.0,0.0,0.0,
Corranure Landfill - W0077,2024,0.0,1,1,0.0,0.0,0.0,
Corranure Landfill - W0077,2025,0.0,1,1,0.0,0.0,0.0,
Country Clean Recycling Unlimited Company - W0257,2021,9941.98,21,10,0.0,9941.98,0.0,
Country Clean Recycling Unlimited Company - W0257,2022,8442.17,16,10,0.0,8442.17,0.0,
Country Clean Recycling Unlimited Company - W0257,2023,10565.19,14,9,0.0,10565.19,0.0,
Country Clean Recycling Unlimited Company - W0257,2024,15119.46,15,9,13363.39,1756.07,0.0,0.0
Country Clean Recycling Unlimited Company - W0257,2025,18050.4,16,9,16384.45,1665.95,0.0,0.0
Crag Arklow Limited - P0031,2025,15750.0,1,1,0.0,15750.0,0.0,
Derrinumera Landfill Facility - W0021,2021,0.0,2,2,0.0,0.0,0.0,
Derrinumera Landfill Facility - W0021,2022,0.0,2,2,0.0,0.0,0.0,
Derrinumera Landfill Facility - W0021,2023,0.0,2,2,0.0,0.0,0.0,
Derrinumera Landfill Facility - W0021,2024,0.0,2,2,0.0,0.0,0.0,
Derrinumera Landfill Facility - W0021,2025,0.0,2,2,0.0,0.0,0.0,
Derryclure Landfill - W0029,2021,0.0,1,1,0.0,0.0,0.0,
Derryclure Landfill - W0029,2022,0.0,1,1,0.0,0.0,0.0,
Derryclure Landfill - W0029,2023,0.0,2,2,0.0,0.0,0.0,
Derryclure Landfill - W0029,2024,0.0,1,1,0.0,0.0,0.0,
Dingle Civic Amenity Centre - W0225,2021,24.08,2,1,0.0,24.08,0.0,
Dingle Civic Amenity Centre - W0225,2022,11.88,2,1,0.0,11.88,0.0,
Dingle Civic Amenity Centre - W0225,2023,21.3,2,1,0.0,21.3,0.0,
Dingle Civic Amenity Centre - W0225,2024,39.28,2,1,0.0,39.28,0.0,
Dingle Civic Amenity Centre - W0225,2025,23.6,2,1,0.0,23.6,0.0,
Donohill Landfill - W0074,2021,80.9,2,1,0.0,0.0,80.9,1.0
Donohill Landfill - W0074,2022,60.04,2,1,0.0,0.0,60.04,1.0
Donohill Landfill - W0074,2023,63.08,2,1,0.0,63.08,0.0,
Donohill Landfill - W0074,2024,66.28,2,1,0.0,66.28,0.0,
Donohill Landfill - W0074,2025,69.8,4,2,8.86,0.0,60.94,0.8730659025787966
Drehid Waste Management Facility - W0201,2021,144621.96,17,3,668.4,0.0,143953.56,0.995378295246448
Drehid Waste Management Facility - W0201,2022,44087.909999999996,15,4,683.96,0.0,43403.95,0.9844864499133663
Drehid Waste Management Facility - W0201,2023,138532.64,21,3,662.1,0.0,137870.54,0.9952206209309228
Drehid Waste Management Facility - W0201,2024,140625.78,31,6,633.6999999999999,0.0,139992.08,0.9954937138837558
Drehid Waste Management Facility - W0201,2025,126557.96,26,4,582.62,0.0,125975.34,0.9953964175781594
Dublin Port Company - P1022,2021,65373.0,2,1,0.0,0.0,65373.0,1.0
Dungarvan Waste Disposal Site - W0032,2021,190.56,2,1,0.0,0.0,190.56,1.0
Dungarvan Waste Disposal Site - W0032,2022,176.36,2,1,0.0,0.0,176.36,1.0
Dungarvan Waste Disposal Site - W0032,2023,225.26,2,1,0.0,0.0,225.26,1.0
Dungarvan Waste Disposal Site - W0032,2024,227.12,2,1,0.0,0.0,227.12,1.0
Dungarvan Waste Disposal Site - W0032,2025,279.12,2,1,0.0,0.0,279.12,1.0
East Cork Landfill Site - W0022,2022,6.74,2,1,0.0,0.0,6.74,1.0
East Cork Landfill Site - W0022,2023,7.64,2,1,0.0,0.0,7.64,1.0
East Cork Landfill Site - W0022,2024,4.94,2,1,0.0,0.0,4.94,1.0
East Cork Landfill Site - W0022,2025,3.86,2,1,0.0,0.0,3.86,1.0
Enva Ireland Limited (Portlaoise) - W0184,2021,69486.326,16,12,236.4,69249.926,0.0,0.0
Enva Ireland Limited (Portlaoise) - W0184,2022,65196.520000000004,15,9,0.0,65196.520000000004,0.0,
