licensee,year,total_accepted_t,n_records,n_low_codes,recovery_share,disposal_share,other_share,backfill_share,hazardous_share,recovery_rate
CHI Environmental Limited - W0260,2024,35583.78,8.0,4.0,1.0,0.0,0.0,0.026123419153333348,0.0,1.0
CHI Environmental Limited - W0260,2025,41085.48,6.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0
Calary Quarry - W0293,2022,33328.15,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Calary Quarry - W0293,2023,177831.19,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
Calary Quarry - W0293,2024,302000.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
Calary Quarry - W0293,2025,304339.03,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Cavan Waste Disposal Ltd - W0207,2021,1849.02,9.0,4.0,0.0,0.0,1.0,0.0,0.0,
Cavan Waste Disposal Ltd - W0207,2022,1528.7199999999998,9.0,6.0,0.0,0.0,1.0,0.0,0.0,
Cavan Waste Disposal Ltd - W0207,2023,1121.4499999999998,10.0,6.0,0.0,0.0,1.0,0.0,0.0,
Cavan Waste Disposal Ltd - W0207,2024,1665.29,9.0,5.0,0.0,0.0,1.0,0.0,0.0,
Cavan Waste Disposal Ltd - W0207,2025,2931.0899999999997,9.0,5.0,0.0,0.0,1.0000000000000002,0.0,0.0,
Clashford Recovery Facilities LTD - W0265,2023,10607.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Clashford Recovery Facilities LTD - W0265,2024,20645.0,3.0,2.0,0.9617340760474691,0.0,0.0,0.0,0.0,1.0
Clashford Recovery Facilities LTD - W0265,2025,21287.0,4.0,2.0,1.0,0.0,0.0,0.8797388077230235,0.0,1.0
Clean (Irl) Refuse & Recycling Co. Unlimited Company - W0253,2021,404.609,16.0,8.0,0.0,0.0,1.0,0.0,0.0,
Clean (Irl) Refuse & Recycling Co. Unlimited Company - W0253,2022,897.8699999999999,12.0,7.0,0.0,0.0,1.0000000000000002,0.0,0.0,
Clean (Irl) Refuse & Recycling Co. Unlimited Company - W0253,2023,1473.7800000000002,20.0,9.0,0.0,0.0,1.0,0.0,0.0,
Clean (Irl) Refuse & Recycling Co. Unlimited Company - W0253,2024,3381.549,18.0,9.0,0.0,0.0,1.0,0.0,0.0,
Clean (Irl) Refuse & Recycling Co. Unlimited Company - W0253,2025,2656.844,20.0,10.0,0.0,0.0,1.0,0.0,0.0,
Clonakilty Waste Transfer Station - W0008,2021,19.68,4.0,2.0,0.0,0.0,1.0,0.0,0.0,
Clonakilty Waste Transfer Station - W0008,2022,134.66,4.0,2.0,0.0,0.0,1.0,0.0,0.0,
Clonakilty Waste Transfer Station - W0008,2023,92.2,4.0,2.0,0.0,0.0,1.0,0.0,0.0,
Corranure Landfill - W0077,2021,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Corranure Landfill - W0077,2022,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Corranure Landfill - W0077,2023,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Corranure Landfill - W0077,2024,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Corranure Landfill - W0077,2025,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Country Clean Recycling Unlimited Company - W0257,2021,9941.98,21.0,10.0,0.0,0.0,1.0,0.0,0.0,
Country Clean Recycling Unlimited Company - W0257,2022,8442.17,16.0,10.0,0.0,0.0,1.0,0.0,0.0,
Country Clean Recycling Unlimited Company - W0257,2023,10565.19,14.0,9.0,0.0,0.0,1.0,0.0,0.0,
Country Clean Recycling Unlimited Company - W0257,2024,15119.46,15.0,9.0,0.0,0.8838536561490953,0.11614634385090473,0.0,0.0,0.0
Country Clean Recycling Unlimited Company - W0257,2025,18050.4,16.0,9.0,0.0,0.9077056464122678,0.09229435358773212,0.0,0.0,0.0
Crag Arklow Limited - P0031,2025,15750.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,
Derrinumera Landfill Facility - W0021,2021,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,
Derrinumera Landfill Facility - W0021,2022,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,
Derrinumera Landfill Facility - W0021,2023,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,
Derrinumera Landfill Facility - W0021,2024,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,
Derrinumera Landfill Facility - W0021,2025,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,
Derryclure Landfill - W0029,2021,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Derryclure Landfill - W0029,2022,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Derryclure Landfill - W0029,2023,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,
Derryclure Landfill - W0029,2024,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
Dingle Civic Amenity Centre - W0225,2021,24.08,2.0,1.0,0.0,0.0,1.0,0.0,0.0,
Dingle Civic Amenity Centre - W0225,2022,11.88,2.0,1.0,0.0,0.0,1.0,0.0,0.0,
Dingle Civic Amenity Centre - W0225,2023,21.3,2.0,1.0,0.0,0.0,1.0,0.0,0.0,
Dingle Civic Amenity Centre - W0225,2024,39.28,2.0,1.0,0.0,0.0,1.0,0.0,0.0,
Dingle Civic Amenity Centre - W0225,2025,23.6,2.0,1.0,0.0,0.0,1.0,0.0,0.0,
Donohill Landfill - W0074,2021,80.9,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Donohill Landfill - W0074,2022,60.04,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Donohill Landfill - W0074,2023,63.08,2.0,1.0,0.0,0.0,1.0,0.0,0.0,
Donohill Landfill - W0074,2024,66.28,2.0,1.0,0.0,0.0,1.0,0.0,0.0,
Donohill Landfill - W0074,2025,69.8,4.0,2.0,0.8730659025787966,0.12693409742120343,0.0,0.0,0.12693409742120343,0.8730659025787966
